Resource;grid;Minor time;Major Time;Scenario;rate
EMITTED_CO2;1;1;1;LL;21.51261306622687
EMITTED_CO2;2;1;1;LL;3.188078225199924
EMITTED_CO2;3;1;1;LL;29.496870913056892
EMITTED_CO2;4;1;1;LL;51.485926943059845
EMITTED_CO2;5;1;1;LL;13.486753576446764
EMITTED_CO2;6;1;1;LL;23.99483765212962
EMITTED_CO2;7;1;1;LL;26.8593266767581
EMITTED_CO2;8;1;1;LL;63.44237442750593
EMITTED_CO2;9;1;1;LL;24.30828347488597
EMITTED_CO2;10;1;1;LL;74.66679451773696
EMITTED_CO2;11;1;1;LL;102.60096
EMITTED_CO2;12;1;1;LL;45.67850958541025
EMITTED_CO2;13;1;1;LL;5.037392546634209
EMITTED_CO2;14;1;1;LL;26.057557851594623
EMITTED_CO2;15;1;1;LL;17.91702002813416
EMITTED_CO2;16;1;1;LL;18.10377253605678
EMITTED_CO2;17;1;1;LL;18.88782263603403
EMITTED_CO2;18;1;1;LL;29.529565770562957
EMITTED_CO2;19;1;1;LL;67.83453880989633
EMITTED_CO2;20;1;1;LL;30.268840267189702
EMITTED_CO2;21;1;1;LL;63.44237442750593
EMITTED_CO2;22;1;1;LL;112.73221920502084
EMITTED_CO2;23;1;1;LL;42.945607303984005
EMITTED_CO2;24;1;1;LL;16.21720061978009
EMITTED_CO2;25;1;1;LL;21.51261306622687
EMITTED_CO2;26;1;1;LL;18.769248232442983
EMITTED_CO2;27;1;1;LL;16.05171897956021
EMITTED_CO2;28;1;1;LL;63.44237442750593
EMITTED_CO2;29;1;1;LL;16.569565969921634
EMITTED_CO2;30;1;1;LL;21.51261306622687
EMITTED_CO2;31;1;1;LL;20.89015796968196
EMITTED_CO2;32;1;1;LL;10.259861615353037
EMITTED_CO2;33;1;1;LL;28.428298422993397
EMITTED_CO2;34;1;1;LL;18.26500691453349
